customer_id,recency_days,frequency,monetary_value,support_tickets,segment_name,RF_Score
CUST00001,167,6,2955.57,2.0,At Risk,24
CUST00002,34,3,1713.1,1.0,New Potential,42
CUST00003,231,1,649.98,0.0,Hibernating,11
CUST00004,191,1,1604.04,0.0,Hibernating,21
CUST00005,10,6,3910.43,1.0,Loyal Customers,54
CUST00006,54,6,3987.46,2.0,Loyal Customers,34
CUST00007,2,2,1219.9,0.0,New Potential,51
CUST00008,44,6,3647.9900000000002,1.0,Loyal Customers,34
CUST00009,28,2,803.99,0.0,New Potential,41
CUST00010,8,2,1984.18,0.0,New Potential,51
CUST00011,6,4,2912.49,0.0,Need Attention,53
CUST00012,110,2,2051.63,1.0,Hibernating,21
CUST00013,2,4,2934.52,1.0,Need Attention,53
CUST00014,0,13,9108.63,2.0,Champions,55
CUST00015,0,5,5805.34,0.0,Loyal Customers,54
CUST00016,275,1,478.02,1.0,Hibernating,11
CUST00017,346,3,1699.1399999999999,0.0,Hibernating,12
CUST00018,171,1,329.21,0.0,Hibernating,21
CUST00019,34,3,2719.02,0.0,New Potential,42
CUST00020,428,3,4487.950000000001,1.0,Hibernating,12
CUST00021,137,2,1059.3,1.0,Hibernating,21
CUST00022,36,2,1332.67,0.0,New Potential,41
CUST00023,41,2,772.04,0.0,New Potential,41
CUST00024,13,2,967.97,0.0,New Potential,51
CUST00025,225,7,4868.86,3.0,At Risk,15
CUST00026,40,4,4521.43,1.0,Need Attention,43
CUST00027,14,2,2666.0,1.0,New Potential,51
CUST00028,3,3,1853.73,1.0,New Potential,52
CUST00029,11,11,7122.8,0.0,Champions,55
CUST00030,15,7,3884.46,2.0,Champions,55
CUST00031,109,1,672.95,0.0,Hibernating,21
CUST00032,31,4,2456.0499999999997,0.0,Need Attention,43
CUST00033,14,6,3548.9,2.0,Loyal Customers,54
CUST00034,52,7,4165.39,3.0,High Maintenance,35
CUST00035,187,3,1369.71,0.0,Hibernating,22
CUST00036,87,4,1737.33,1.0,Need Attention,33
CUST00037,8,3,2021.52,0.0,New Potential,52
CUST00038,10,6,2761.52,1.0,Loyal Customers,54
CUST00039,30,4,2094.09,0.0,Need Attention,43
CUST00040,214,1,634.73,1.0,Hibernating,11
CUST00041,114,4,1911.8600000000001,1.0,Need Attention,23
CUST00042,45,10,7919.28,6.0,High Maintenance,35
CUST00043,11,2,705.3199999999999,0.0,New Potential,51
CUST00044,57,4,3409.6499999999996,1.0,Need Attention,33
CUST00045,156,1,413.75,0.0,Hibernating,21
CUST00046,187,1,489.87,0.0,Hibernating,21
CUST00047,264,1,764.43,0.0,Hibernating,11
CUST00048,10,5,2860.14,1.0,Loyal Customers,54
CUST00049,38,2,1172.61,0.0,New Potential,41
CUST00050,55,4,3169.58,1.0,Need Attention,33
CUST00051,270,4,4444.3,2.0,Need Attention,13
CUST00052,115,3,2807.14,1.0,Hibernating,22
CUST00053,9,6,5422.92,2.0,Loyal Customers,54
CUST00054,22,2,1154.37,0.0,New Potential,41
CUST00055,0,4,1707.24,1.0,Need Attention,53
CUST00056,52,5,4169.73,1.0,Loyal Customers,34
CUST00057,196,2,2510.83,0.0,Hibernating,21
CUST00058,48,5,3930.75,0.0,Loyal Customers,34
CUST00059,8,5,5050.94,0.0,Loyal Customers,54
CUST00060,205,1,293.22,0.0,Hibernating,11
CUST00061,2,5,2511.7200000000003,1.0,Loyal Customers,54
CUST00062,49,5,3135.08,1.0,Loyal Customers,34
CUST00063,276,1,397.69,1.0,Hibernating,11
CUST00064,26,3,1634.0,0.0,New Potential,42
CUST00065,0,4,3966.91,0.0,Need Attention,53
CUST00066,380,5,4598.95,1.0,At Risk,14
CUST00067,123,2,1246.44,1.0,Hibernating,21
CUST00068,406,3,2123.66,1.0,Hibernating,12
CUST00069,89,2,874.47,0.0,Need Attention,31
CUST00070,98,1,542.98,0.0,Need Attention,31
CUST00071,92,1,2062.5,1.0,Need Attention,31
CUST00072,150,4,2587.02,0.0,Need Attention,23
CUST00073,44,7,6253.77,0.0,Loyal Customers,35
CUST00074,25,5,2884.48,1.0,Loyal Customers,44
CUST00075,43,11,7714.719999999999,4.0,High Maintenance,35
CUST00076,0,4,2888.0299999999997,0.0,Need Attention,53
CUST00077,169,1,394.32,0.0,Hibernating,21
CUST00078,199,1,894.45,1.0,Hibernating,11
CUST00079,251,1,619.57,0.0,Hibernating,11
CUST00080,7,4,2832.98,0.0,Need Attention,53
CUST00081,40,9,5805.78,3.0,High Maintenance,45
CUST00082,314,3,1671.25,0.0,Hibernating,12
CUST00083,149,2,806.87,1.0,Hibernating,21
CUST00084,227,1,1273.18,0.0,Hibernating,11
CUST00085,74,1,1257.8,0.0,Need Attention,31
CUST00086,39,6,3003.66,1.0,Loyal Customers,44
CUST00087,27,4,3610.9700000000003,0.0,Need Attention,43
CUST00088,158,12,6774.5,1.0,At Risk,25
CUST00089,225,2,2825.75,0.0,Hibernating,11
CUST00090,49,5,2498.83,1.0,Loyal Customers,34
CUST00091,17,5,5844.34,1.0,Loyal Customers,54
CUST00092,33,2,1155.25,0.0,New Potential,41
CUST00093,145,1,759.64,0.0,Hibernating,21
CUST00094,243,4,3557.43,2.0,Need Attention,13
CUST00095,125,1,372.65,1.0,Hibernating,21
CUST00096,44,4,2403.64,1.0,Need Attention,33
CUST00097,28,8,5040.67,2.0,Loyal Customers,45
CUST00098,244,2,1843.57,1.0,Hibernating,11
CUST00099,44,6,3861.8199999999997,1.0,Loyal Customers,34
CUST00100,2,3,2209.4,0.0,New Potential,52
CUST00101,168,5,3514.87,2.0,At Risk,24
CUST00102,17,2,2048.62,0.0,New Potential,51
CUST00103,6,3,2581.31,0.0,New Potential,52
CUST00104,153,1,955.63,0.0,Hibernating,21
CUST00105,39,2,2846.2999999999997,0.0,New Potential,41
CUST00106,121,7,4352.11,1.0,At Risk,25
CUST00107,31,4,3891.05,0.0,Need Attention,43
CUST00108,104,1,1074.5,1.0,Need Attention,31
